scope	modules=admin.ts,canvas.ts; picker tier-27 only
keys_in_en	1217
locale	pct_same_as_en	matching	keys_compared
hi	100.0	1216	1216
vi	100.0	1216	1216
it	97.8	1189	1216
ms	96.7	1177	1217
sq	96.7	1177	1217
ar	96.5	1174	1216
tl	79.2	964	1217
es	63.0	766	1216
ko	62.9	765	1216
tr	62.8	764	1216
fa	62.7	763	1216
ja	59.2	718	1213
az	58.8	715	1217
nl	46.3	563	1217
pl	45.8	557	1217
uz	41.7	508	1217
af	37.6	457	1217
th	37.6	457	1217
fr	35.3	429	1217
zh-tw	31.0	377	1217
id	27.6	336	1216
pt	9.7	118	1217
de	9.4	114	1217
ru	7.1	87	1217
uk	7.1	87	1217
zh	5.3	65	1215
